subset,repo,group,release,file_id,path_rel,loc_total,block_count,blocks_per_file,blocks_per_kloc
core,ipython,old_2000s,0.10.1,890263c37b2b6faba4d3a99e1df23df95c1d4502,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/__init__.py,13,1,1.0,76.92307692307692
core,ipython,old_2000s,0.10.1,293d522f11296e2ac9c73515b935bcaa9990534c,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/astyle.py,400,22,22.0,55.0
core,ipython,old_2000s,0.10.1,3e656456c266ec37333215b690ab3e4053780f8a,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/clearcmd.py,87,6,6.0,68.96551724137932
core,ipython,old_2000s,0.10.1,38e004db1cabe1822aa6137727ec0ff859bf1fa4,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/envpersist.py,90,1,1.0,11.11111111111111
core,ipython,old_2000s,0.10.1,9a2850802cb86b929e7586cdba0e70aec0eee861,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/ext_rescapture.py,63,3,3.0,47.61904761904762
core,ipython,old_2000s,0.10.1,140a0690f704c1ecc4609259ef4afb1234838cb7,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/ibrowse.py,1767,125,125.0,70.74136955291455
core,ipython,old_2000s,0.10.1,698254916b3d473a15278503780af31e6111645e,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/igrid.py,1126,38,38.0,33.74777975133215
core,ipython,old_2000s,0.10.1,af07e7566819444aa3b246df156397751b035f29,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/ipipe.py,2327,33,33.0,14.181349376880103
core,ipython,old_2000s,0.10.1,d6f01d5a61c859d0a326681d5fbb600ad3896228,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/ipy_app_completers.py,19,1,1.0,52.631578947368425
core,ipython,old_2000s,0.10.1,9713f6136e2dc601ad91625f53da77c142c61617,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/ipy_autoreload.py,349,13,13.0,37.24928366762178
core,ipython,old_2000s,0.10.1,a03f47416012d4318fb18ca6e4f4cdeaf87bce4c,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/ipy_bzr.py,343,5,5.0,14.577259475218657
core,ipython,old_2000s,0.10.1,850662fc7d9ddfe3150c1c1f5e7e0435e95b3186,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/ipy_completers.py,400,14,14.0,35.0
core,ipython,old_2000s,0.10.1,6026f777c80419721e46a55ebdbee28afdfcefed,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/ipy_constants.py,669,87,87.0,130.04484304932734
core,ipython,old_2000s,0.10.1,a095bd176f3b9cd24c5a70bd6923bfba43279bba,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/ipy_defaults.py,62,0,0.0,0.0
core,ipython,old_2000s,0.10.1,76c240f9bfed35ede1bf7684f4b1bc3d3fb3023a,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/ipy_editors.py,88,2,2.0,22.72727272727273
core,ipython,old_2000s,0.10.1,ef1be24c94bce0a95a3633c4c1a43670c0f8126a,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/ipy_exportdb.py,76,0,0.0,0.0
core,ipython,old_2000s,0.10.1,cce8fad2ce3467201123ce468bcdc7c387752e5f,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/ipy_extutil.py,43,1,1.0,23.255813953488374
core,ipython,old_2000s,0.10.1,f2ab3f8cb47e1c22e7f0276bc9cf36958670dc8e,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/ipy_fsops.py,244,5,5.0,20.491803278688526
core,ipython,old_2000s,0.10.1,3ba4e736d3b85b4d407fb68d9798dd65350fa8b7,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/ipy_gnuglobal.py,38,2,2.0,52.631578947368425
core,ipython,old_2000s,0.10.1,97d3ef5f044a75717e679871c6dc2246bfc54296,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/ipy_greedycompleter.py,75,4,4.0,53.333333333333336
core,ipython,old_2000s,0.10.1,2bf1c304ebc57426245f8c06bdb0ff0cfdebc119,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/ipy_jot.py,311,18,18.0,57.87781350482315
core,ipython,old_2000s,0.10.1,7731e6960498f78ceca641e3bd9f9d20976bc900,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/ipy_kitcfg.py,80,4,4.0,50.0
core,ipython,old_2000s,0.10.1,ddd4f2522cb407258ec751c281215abac9b12baa,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/ipy_legacy.py,62,7,7.0,112.90322580645162
core,ipython,old_2000s,0.10.1,f2d9909d9b2ba353f3c270e3c7b58020c48d72b8,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/ipy_lookfor.py,234,19,19.0,81.19658119658119
core,ipython,old_2000s,0.10.1,131293dea1a04e9f88b4c24b03328ad29a089d7e,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/ipy_p4.py,47,1,1.0,21.27659574468085
core,ipython,old_2000s,0.10.1,cb5c55fa300f3232c5fe9253ba5bf832513d1e6c,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/ipy_pretty.py,132,7,7.0,53.03030303030303
core,ipython,old_2000s,0.10.1,47b30372a8ed45fd68bd6392d51e6a77efcfa826,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/ipy_profile_doctest.py,46,6,6.0,130.43478260869566
core,ipython,old_2000s,0.10.1,33b16edc5545840919191c043d9f220e6ae5b0e4,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/ipy_profile_none.py,4,1,1.0,250.0
core,ipython,old_2000s,0.10.1,e1528d8d876a45cf984a73e1b400cb164607ee80,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/ipy_profile_numpy.py,24,0,0.0,0.0
core,ipython,old_2000s,0.10.1,f1af3026600fb3090917ab40de1c4cc42f8a936b,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/ipy_profile_scipy.py,29,0,0.0,0.0
core,ipython,old_2000s,0.10.1,1e5b2eb6ffcc242e7b863955037c0edc16b051ba,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/ipy_profile_sh.py,270,39,39.0,144.44444444444443
core,ipython,old_2000s,0.10.1,9dba57d590ca34fd53d00d1c4f53b484e659d254,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/ipy_profile_zope.py,323,10,10.0,30.959752321981423
core,ipython,old_2000s,0.10.1,30f5fc9ed3ef70da23dbaa1f9877fd89448fd42b,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/ipy_pydb.py,31,1,1.0,32.25806451612903
core,ipython,old_2000s,0.10.1,1bc48c4da3761d6bceb8da8fd8ab75445d20967b,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/ipy_rehashdir.py,140,7,7.0,49.99999999999999
core,ipython,old_2000s,0.10.1,23821e0f6c558c70dca22e67959eaeb14738bbcc,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/ipy_render.py,68,1,1.0,14.705882352941176
core,ipython,old_2000s,0.10.1,4e2e02354dc200b6b5738154d4a652939486af43,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/ipy_server.py,38,3,3.0,78.94736842105263
core,ipython,old_2000s,0.10.1,73b8bc7ca94b1ac8a5179532abb089a05b853ccc,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/ipy_signals.py,62,0,0.0,0.0
core,ipython,old_2000s,0.10.1,b3eb2bf759c22a327475af4df2b3534c03f39d5a,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/ipy_stock_completers.py,17,0,0.0,0.0
core,ipython,old_2000s,0.10.1,4e23ac16c98a2e1f4f28c00d7c8d086f398487d2,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/ipy_synchronize_with.py,242,5,5.0,20.66115702479339
core,ipython,old_2000s,0.10.1,d6d05ce55a8d7a0bab609c0b3738dfe738b70809,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/ipy_system_conf.py,24,4,4.0,166.66666666666666
core,ipython,old_2000s,0.10.1,107a3bc197a4aee875a73c9d8fb11f78c6f1e348,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/ipy_traits_completer.py,218,28,28.0,128.44036697247705
core,ipython,old_2000s,0.10.1,d5d01a6e7fd44b9a467fd066e68ef560638e3eab,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/ipy_vimserver.py,239,7,7.0,29.288702928870293
core,ipython,old_2000s,0.10.1,0a1f0ac2407d00e69bbd701afc3526d499f7e43b,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/ipy_which.py,76,0,0.0,0.0
core,ipython,old_2000s,0.10.1,2c98b8ad42d73419eb6eaf5988787e1f500a09d2,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/ipy_winpdb.py,83,0,0.0,0.0
core,ipython,old_2000s,0.10.1,866abbf296a1f55b287b6be317744a3e52279ea0,swh:1:dir:90353396ee140362f37d8e7bee19b693ea16438a/ipython-0.10.1/IPython/Extensions/ipy_workdir.py,43,1,1.0,23.255813953488374
